User_Id	module	dataset	intervnrday	elecdist	geoarea	urban	polintr	pltrust	mimpissue17_10	simpissue17_10	mimptask17_10	mipmtaskprt	pidsupport1	pidsupport3	prtcls	prtclsorig	peoplimp	voteimp	civicvote	prtreflopin	prtreflopinbest	govprfmBB	Eumship	envirimp	gincdif	ceqvote	taxreduc	capicntry	privhealth	imueclt	genconsind	icenatoint	icenato	acrproimp	gndeqsal	govequal	referendcha	democr	pltscrpbribe	pltscrp	repdemocr	persvote	prtimp	govcollapse	prtfeel_S	prtfeel_B	prtfeel_D	prtfeel_V	prtfeel_P	prtfeel_C	prtfeel_M	prtfeel_FF	ldrfeel_LE	ldrfeel_SIJ	ldrfeel_BB	ldrfeel_KJ	ldrfeel_TSA	ldrfeel_TKG	ldrfeel_SDG	ldrfeel_IS	lrscale_S	lrscale_B	lrscale_D	lrscale_V	lrscale_P	lrscale_C	lrscale_M	lrscale_FF	lrscale	pidclose1	pidclose2	pidclose3	pidsymp1	pidsymp2	pidsymp3	mmbprt	mmbprt_S	mmbprt_B	mmbprt_D	mmbprt_V	mmbprt_A	mmbprt_P	mmbprt_C	mmbprt_M	mmbprt_F	mmbprt_T	mmbprt_R	vote17	prtvote17	ifprtvote17	candordch	hldecvote	fvote16	prtfvote16	bprteco	bprtimm	bprteurope	bprtfamily	bprtisencit	bprthealth	bprtenvir	bprtregpol	bprtedu	bprtequal	bprthouse	forcurr	priceindex	mediause	ecobettwors_1	undpolis	compromise	polcare	poltrust	polprob	strlead	poldecpub	polcarerich	minicetrd	majmin	immeco	immcult	immcrime	iceborn	iceance	icespeak	icetrad	gender	yob	age	finworry	rentown	pjob	njob	emplstatus	mainjobflo	uniwindw	govpriv	education	unmmb	maritals	incomecate	hinctntyearcate	hhmmb	childs	race	cntrybrncat	cntrybrnpar	languagecat	church	rlgatnd	elecday	elecmonth	elecyear	distseat
201710292263	"B1"	"ICENES2017"	44	2	3	2	2	2	95	95	6	4	2	96	2	96	5	5	5	2	96	7	95	95	95	8	95	95	95	95	95	5	5	95	95	2	3	3	3	3	5	4	5	1	6	6	7	8	6	6	4	4	5	6	4	8	7	7	6	5	5	6	8	4	9	9	6	98	98	2	0	96	2	0	96	2	2	2	2	2	2	2	2	2	2	2	2	1	10	96	2	1	1	94	95	95	95	95	95	95	95	95	95	95	95	95	95	1	2	1	5	5	1	5	5	5	4	1	5	1	5	5	3	4	1	2	"Kona"	1967	50	5	1	1	96	1	10	3	2	8	1	2	8	8	2	0	1	1	1	1	1	1	28	10	2017	8
201710292273	"B2"	"ICENES2017"	89	5	1	3	3	95	6	2	6	4	5	95	5	95	5	5	95	2	96	3	3	1	1	95	4	2	5	3	3	2	6	5	1	3	5	2	3	95	95	95	95	95	6	8	4	8	4	5	3	5	5	8	4	10	5	5	2	5	3	5	10	1	5	8	5	3	5	2	0	96	2	0	96	5	5	5	5	5	5	5	5	5	5	5	5	1	5	96	5	5	1	4	90	98	98	4	11	4	4	2	4	4	90	3	4	3	2	1	4	4	2	3	4	4	4	4	4	3	4	2	3	2	2	3	"Kona"	1977	40	5	1	1	96	1	20	3	3	8	1	3	3	3	1	0	1	1	1	1	1	2	28	10	2017	13
201710292345	"B1"	"ICENES2017"	24	5	1	3	3	3	95	95	6	98	1	4	6	96	3	3	5	2	96	3	95	95	95	1	95	95	95	95	95	5	5	95	95	4	4	2	3	3	2	1	1	4	7	3	6	7	1	7	1	3	7	8	6	8	1	6	0	2	3	7	9	3	5	7	9	5	5	1	2	4	6	6	96	2	2	2	2	2	2	2	2	2	2	2	2	1	4	96	2	2	1	4	95	95	95	95	95	95	95	95	95	95	95	95	95	2	1	1	5	5	4	1	2	5	4	1	2	2	5	5	4	4	1	1	"Karl"	1957	60	4	1	1	96	1	70	3	2	6	1	3	2	2	1	0	1	1	1	1	1	3	28	10	2017	13
201710292377	"B1"	"ICENES2017"	31	6	1	4	3	3	95	95	6	4	2	96	1	1	5	5	5	1	1	8	95	95	95	1	95	95	95	95	95	5	5	95	95	2	4	2	8	2	1	2	8	2	9	3	2	8	7	7	0	1	8	5	3	9	7	8	1	3	3	5	9	1	5	7	9	7	3	1	2	1	6	6	96	2	2	2	2	2	2	2	2	2	2	2	2	1	1	96	2	3	1	1	95	95	95	95	95	95	95	95	95	95	95	95	95	2	3	2	4	4	4	4	4	4	4	2	4	1	4	4	4	4	2	2	"Kona"	1976	41	5	1	1	96	1	10	1	1	8	1	1	5	5	4	2	1	1	1	1	1	2	28	10	2017	11
201710292462	"B2"	"ICENES2017"	25	5	1	3	3	95	6	3	6	3	5	95	5	95	5	5	95	1	3	2	4	1	2	95	2	2	2	4	4	2	6	4	2	2	5	2	3	95	95	95	95	95	6	6	8	4	2	6	4	6	5	7	8	7	0	3	2	6	5	5	10	0	0	5	5	2	7	2	0	96	2	0	96	5	5	5	5	5	5	5	5	5	5	5	5	1	3	96	5	5	1	3	3	1	3	1	11	3	3	3	3	1	1	5	4	2	2	3	4	4	1	4	4	2	4	2	4	4	4	4	2	2	1	2	"Kona"	1949	68	4	1	2	5	7	50	6	6	3	6	5	7	7	1	0	1	1	1	1	1	4	28	10	2017	13
201710292501	"B2"	"ICENES2017"	24	7	1	4	2	95	7	0	6	4	5	95	5	95	5	5	95	2	96	3	2	1	1	95	5	4	5	5	5	1	1	2	1	1	5	3	2	95	95	95	95	95	9	3	2	9	8	6	0	1	10	5	1	10	9	8	0	1	3	6	8	3	5	9	10	7	2	1	2	4	6	6	96	5	5	5	5	5	5	5	5	5	5	5	5	1	4	96	5	5	1	4	4	1	1	1	98	4	4	1	4	4	4	2	2	2	1	2	3	4	4	3	5	2	4	3	5	1	5	5	4	4	2	2	"Kona"	1963	54	5	1	1	96	1	10	1	2	8	1	1	4	4	5	1	1	1	1	1	90	3	28	10	2017	11
201710292523	"B1"	"ICENES2017"	32	6	1	4	3	3	95	95	6	4	2	96	1	4	5	5	3	1	4	2	95	95	95	1	95	95	95	95	95	5	5	95	95	2	2	2	2	3	4	3	2	2	8	96	4	9	96	8	96	5	8	96	5	10	96	7	3	7	3	7	10	2	98	6	7	0	5	1	2	4	6	6	96	2	2	2	2	2	2	2	2	2	2	2	2	1	4	96	2	1	6	95	95	95	95	95	95	95	95	95	95	95	95	95	95	2	3	2	4	4	4	4	4	2	2	5	4	2	4	3	4	3	3	4	"Kona"	1999	18	4	3	2	6	6	99	6	6	4	6	3	7	7	5	2	1	1	1	1	90	1	28	10	2017	11
201710292527	"B2"	"ICENES2017"	49	6	1	4	1	95	7	9	6	8	5	95	5	95	5	4	95	1	8	2	2	2	2	95	5	4	5	5	3	1	2	2	1	1	5	3	2	95	95	95	95	95	6	2	2	3	8	8	0	0	7	1	1	5	7	6	0	1	3	7	9	2	5	5	7	4	5	2	0	96	1	2	8	5	5	5	5	5	5	5	5	5	5	5	5	1	8	96	5	5	1	8	8	8	8	98	98	8	6	98	98	8	98	1	8	1	3	1	5	4	4	4	5	4	4	4	5	1	5	5	3	3	1	3	"Kona"	1995	22	5	3	1	96	1	20	1	1	8	1	3	1	2	4	0	1	1	3	1	90	1	28	10	2017	11
201710292666	"B2"	"ICENES2017"	29	5	1	3	2	95	6	2	6	98	5	95	5	95	4	3	95	2	96	3	4	1	1	95	3	4	5	5	5	8	9	4	1	2	5	2	3	95	95	95	95	95	4	3	4	7	4	4	3	96	7	5	3	8	96	4	3	6	6	8	10	0	3	7	8	96	5	2	0	96	1	1	4	5	5	5	5	5	5	5	5	5	5	5	5	1	4	96	5	5	1	6	3	98	98	4	10	98	6	2	4	5	98	8	8	2	2	2	2	4	2	4	5	4	4	2	4	2	5	5	4	4	1	2	"Kona"	1981	36	4	1	1	96	1	20	1	1	8	1	1	3	3	5	3	1	1	1	1	90	2	28	10	2017	13
201710292739	"B2"	"ICENES2017"	37	7	1	4	1	95	2	2	6	1	5	95	5	95	5	5	95	1	1	4	1	1	1	95	5	5	5	5	5	2	6	1	1	1	5	2	4	95	95	95	95	95	9	3	1	8	6	2	96	4	9	4	0	8	96	3	0	2	1	8	9	3	5	8	6	7	9	1	3	1	6	6	96	5	5	5	5	5	5	5	5	5	5	5	5	1	1	96	5	5	1	1	1	1	1	98	1	1	1	6	4	1	1	1	3	1	2	1	4	5	2	5	5	5	5	1	5	2	5	5	3	3	3	2	"Kona"	1951	65	3	1	1	96	1	20	1	1	8	1	1	5	4	4	0	1	1	1	1	90	1	28	10	2017	11
