"","X1","nuvirdi","teg_eign","ibm2","fjbilsk","fjherb","fjstof","matssvaedi","nafn_baer"
"31293",31293,22.84,"Íbúðareign",106.1,0,3,1,2040,"Njarðvík"
"31294",31294,16.5,"Íbúðareign",99,0,3,1,2050,"Keflavík"
"31295",31295,42.11,"Íbúðareign",98.5,1,1,1,510,"Garðabær: Sjáland"
"31296",31296,33,"Einbýlishús",135.4,0,4,1,8150,"Vík"
"31297",31297,10.64,"Íbúðareign",62,0,2,1,8170,"Hvolsvöllur"
"31298",31298,34.18,"Parhús",115,0,3,1,8010,"Selfoss"
"31299",31299,40.49,"Raðhús",150.2,0,3,1,6030,"Akureyri: Efri brekka"
"31300",31300,18.65,"Íbúðareign",90.9,0,3,1,6030,"Akureyri: Efri brekka"
"31301",31301,55.95,"Parhús",112.7,0,3,1,340,"Kópavogur: Lindir, Salir"
"31302",31302,35.79,"Íbúðareign",82,0,2,1,80,"Hlíðar"
"31303",31303,29.23,"Parhús",128,0,2,2,6020,"Akureyri: Neðri brekka, Eyri, innbær"
"31304",31304,25.86,"Einbýlishús",152.9,0,5,1,6140,"Dalvík"
"31305",31305,32.29,"Raðhús",140,0,3,1,6030,"Akureyri: Efri brekka"
"31306",31306,22.2,"Raðhús",87,0,2,1,8180,"Hella"
"31307",31307,36.15,"Íbúðareign",108.5,1,2,1,270,"Norðlingaholt"
"31308",31308,34.98,"Íbúðareign",119.1,1,3,1,180,"Grafarholt"
"31309",31309,65.88,"Einbýlishús",175.4,0,4,1,180,"Grafarholt"
"31310",31310,47.93,"Raðhús",137,0,4,1,220,"Selás"
"31311",31311,35.46,"Íbúðareign",105.1,0,2,1,350,"Kópavogur: Hvörf, Þing"
"31312",31312,51.53,"Raðhús",186.7,0,5,2,320,"Kópavogur: Austurbær"
"31313",31313,30.47,"Íbúðareign",95.6,0,2,1,600,"Hafnarfjörður"
"31314",31314,36.48,"Íbúðareign",86.6,0,2,2,90,"Holt/Tún"
"31315",31315,33.88,"Íbúðareign",93.7,0,2,1,500,"Garðabær"
"31316",31316,24.81,"Íbúðareign",61.6,0,2,1,100,"Laugarneshverfi/Vogar"
"31317",31317,37,"Íbúðareign",107.1,1,3,1,270,"Norðlingaholt"
"31318",31318,35.26,"Íbúðareign",104.2,0,3,1,630,"Hafnarfjörður - Vellir"
"31319",31319,26.49,"Íbúðareign",79.3,0,2,1,170,"Neðra-Breiðholt"
"31320",31320,33.99,"Íbúðareign",104.6,0,3,1,600,"Hafnarfjörður"
"31321",31321,8.98,"Íbúðareign",79.2,0,2,1,4020,"Patreksfjörður"
"31322",31322,34.74,"Íbúðareign",72.7,0,1,2,90,"Holt/Tún"
"31323",31323,55.01,"Íbúðareign",157.8,2,3,1,680,"Hafnarfjörður - Börð"
"31324",31324,35.74,"Íbúðareign",116.3,1,2,2,3000,"Akranes"
"31325",31325,13.99,"Einbýlishús",67.7,0,3,1,3000,"Akranes"
"31326",31326,41.84,"Raðhús",107.2,0,2,1,6010,"Akureyri: Naustahverfi"
