"";"User_Id";"dataset";"intervnrday";"mode";"elecdist";"geoarea";"urban";"polintr";"pltrust";"mipmtaskprt";"medtime";"medium";"pidsupport1";"prtcls";"pidsupport3";"voteimp";"civicvote";"pltscrp";"govprfm";"govprfmCov";"ecobettwors_1";"Eumship";"envirimp";"gincdif";"taxreduc";"capicntry";"ceqvote";"privhealth";"imueclt";"essfull";"prnsoci";"sevpun";"femfight";"genconsind";"acrproimp";"drugpol";"femequal";"referendcha";"prtfeel_FF";"prtfeel_B";"prtfeel_M";"prtfeel_P";"prtfeel_S";"prtfeel_D";"prtfeel_C";"prtfeel_V";"prtfeel_J";"ldrfeel_IS";"ldrfeel_SIJ";"ldrfeel_SDG";"ldrfeel_HM";"ldrfeel_LE";"ldrfeel_BB";"ldrfeel_TKG";"ldrfeel_KJ";"ldrfeel_GSE";"lrscale_FF";"lrscale_B";"lrscale_M";"lrscale_P";"lrscale_S";"lrscale_D";"lrscale_C";"lrscale_V";"lrscale_J";"lrscale";"democr";"pidclose1";"pidsymp1";"pidsymp3";"prthwcls";"mmbprt_0";"mmbprt_O";"mmbprt_Y";"mmbprt_F";"mmbprt_B";"mmbprt_J";"mmbprt_M";"mmbprt_P";"mmbprt_S";"mmbprt_D";"mmbprt_C";"mmbprt_V";"vote21";"votesat";"nvotesat";"votevar";"votefair";"hldecvote";"fvote17";"bprteco";"bprtimm";"bprteurope";"bprtfamily";"bprtisencit";"bprthealth";"bprtenvir";"bprtregpol";"bprtedu";"bprtequal";"bprthouse";"medruv";"medchtwo";"medradio";"medpaper";"medweb";"podcast";"medsoc";"medsocfre";"inteff";"dembest";"courts";"leadrul";"femrep";"leadbus";"leadexp";"leadciti";"demqual";"trustparl";"trustgov";"trustjud";"trustexp";"trustprt";"trustmed";"trustsocmed";"femrep.0";"covgen";"ecogen";"healthc";"covsoc";"covdem";"covfin";"covsick";"finworry";"rentown";"pjob";"uniwindw";"govpriv";"unmmb";"maritals";"hhmmb";"childs";"race";"gender";"yob";"mainjobflo";"educationflo";"incomecate";"church";"prtclsorig";"cntrybrncat";"languagecat";"hinctntyearcate";"rlgatnd";"elecday";"elecmonth";"elecyear";"distseat"
"2058";202109252058;"ICENES2021";175;2;5;1;3;3;4;6;2;2;2;1;996;995;995;998;998;2;2;998;1;2;995;995;1;2;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;998;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;2;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;4;3;6;996;996;995;3;3;0;996;"Kona";1999;996;30;1;90;6;996;996;1;1;25;9;2021;13
"2059";202109252059;"ICENES2021";175;2;5;1;3;4;3;998;1;996;2;2;996;995;995;4;2;1;998;3;4;5;995;995;1;1;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;8;2;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;2;995;995;995;995;995;0;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;5;1;0;3;2;995;2;2;0;996;"Karl";1995;90;30;4;90;996;996;996;4;1;25;9;2021;13
"2060";202109252060;"ICENES2021";122;2;1;7;2;5;997;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;"Kona";1973;999;99;996;999;996;999;999;996;999;25;9;2021;10
"2061";202109252061;"ICENES2021";124;2;4;2;2;4;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;"Kona";1993;999;99;996;999;996;999;999;996;999;25;9;2021;10
"2062";202109252062;"ICENES2021";122;2;1;7;2;5;4;1;1;996;1;995;1;995;995;1;4;4;4;1;2;2;995;995;1;3;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;3;2;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;5;1;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;6;996;996;995;2;2;0;996;"Karl";1994;996;30;1;1;996;996;996;1;3;25;9;2021;10
"2063";202109252063;"ICENES2021";122;2;5;1;3;3;2;3;2;1;1;995;3;995;995;3;2;1;2;4;5;5;995;995;4;3;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;8;2;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;5;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;995;995;995;995;995;995;995;995;995;995;995;995;995;995;5;1;0;1;1;995;1;2;0;996;"Karl";1959;10;50;3;1;996;996;996;3;1;25;9;2021;13
"2064";202109252064;"ICENES2021";122;2;7;1;4;5;4;995;1;996;2;2;996;995;995;1;2;2;3;1;1;3;995;995;1;2;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;997;4;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;998;995;995;995;995;995;989;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;4;2;0;1;2;995;2;2;2;996;"Karl";1972;30;70;997;90;996;996;996;997;1;25;9;2021;11
"2065";202109252065;"ICENES2021";122;2;7;1;4;2;3;4;4;2;1;995;4;995;995;2;2;2;4;997;997;2;995;995;1;4;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;5;2;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;4;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;4;1;0;1;1;995;2;4;2;996;"Karl";1979;20;70;5;1;996;996;996;5;1;25;9;2021;11
"2066";202109252066;"ICENES2021";122;2;1;6;2;4;4;995;2;2;2;2;996;995;995;2;997;2;4;3;5;1;995;995;1;5;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;5;2;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;1;992;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;1;0;1;2;995;1;3;0;996;"Kona";1969;40;30;997;1;996;996;996;997;3;25;9;2021;10
"2067";202109252067;"ICENES2021";122;2;6;1;4;4;3;988;1;996;2;998;996;995;995;2;998;2;3;998;1;1;995;995;998;4;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;3;995;995;995;995;998;998;998;998;998;998;998;998;998;998;998;998;1;995;995;995;995;2;993;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;4;1;0;1;2;995;2;2;0;996;"Kona";1985;20;80;5;90;996;996;996;5;1;25;9;2021;11
